"strategy","wins","draws","losses","score","points"
"14, 2, 14, 2, 14, 14, 14, 14, 12",16826,1135,13134,17393.5,8
"15, 15, 3, 15, 4, 15, 15, 15, 3",16726,1335,13034,17393.5,8
"12, 12, 13, 13, 12, 13, 12, 12, 1",16354,2065,12676,17386.5,8
"12, 12, 12, 13, 12, 13, 12, 13, 1",16387,1997,12711,17385.5,8
"2, 13, 2, 13, 2, 13, 21, 21, 13",16735,1294,13066,17382,8
"15, 15, 15, 15, 4, 15, 3, 15, 3",16678,1407,13010,17381.5,8
"12, 12, 12, 12, 13, 13, 13, 13, 0",16559,1641,12895,17379.5,8
"2, 14, 12, 14, 16, 14, 12, 14, 2",16647,1463,12985,17378.5,8
"15, 3, 15, 15, 3, 3, 16, 15, 15",16715,1327,13053,17378.5,8
"12, 13, 12, 13, 12, 13, 12, 12, 1",16354,2048,12693,17378,8
"1, 12, 12, 12, 12, 12, 13, 13, 13",16357,2041,12697,17377.5,8
"3, 15, 16, 2, 15, 2, 16, 15, 16",16757,1235,13103,17374.5,8
"2, 16, 16, 18, 2, 13, 18, 13, 2",16718,1307,13070,17371.5,8
"14, 14, 14, 0, 0, 14, 15, 15, 14",16793,1156,13146,17371,8
"1, 12, 13, 12, 12, 12, 12, 13, 13",16327,2077,12691,17365.5,8
"12, 13, 12, 13, 12, 12, 13, 12, 1",16333,2059,12703,17362.5,8
"2, 1, 13, 13, 14, 15, 14, 14, 14",16717,1289,13089,17361.5,8
"2, 16, 1, 16, 1, 16, 16, 16, 16",16701,1318,13076,17360,8
"3, 4, 15, 15, 15, 15, 15, 15, 3",16661,1398,13036,17360,8
"3, 15, 17, 16, 15, 5, 3, 13, 13",16781,1158,13156,17360,8
"1, 13, 13, 12, 12, 12, 12, 12, 13",16294,2128,12673,17358,8
"12, 12, 12, 4, 12, 12, 12, 12, 12",16269,2170,12656,17354,8
"12, 12, 12, 4, 12, 12, 12, 12, 12",16269,2170,12656,17354,8
"1, 12, 12, 12, 14, 12, 13, 12, 12",16331,2042,12722,17352,8
"15, 15, 15, 3, 4, 3, 15, 15, 15",16692,1308,13095,17346,8
"1, 13, 13, 12, 12, 12, 12, 13, 12",16275,2141,12679,17345.5,7
"3, 21, 14, 16, 2, 15, 2, 15, 12",16620,1448,13027,17344,7
"13, 13, 12, 12, 13, 12, 12, 0, 13",16497,1690,12908,17342,7
"3, 15, 15, 3, 15, 16, 3, 15, 15",16660,1361,13074,17340.5,7
"3, 3, 3, 17, 15, 13, 16, 17, 13",16815,1049,13231,17339.5,7
"12, 12, 12, 12, 12, 12, 4, 12, 12",16258,2157,12680,17336.5,7
"12, 12, 12, 12, 12, 12, 4, 12, 12",16258,2157,12680,17336.5,7
"2, 13, 15, 23, 3, 14, 14, 14, 2",16714,1245,13136,17336.5,7
"12, 12, 12, 12, 12, 12, 4, 12, 12",16258,2157,12680,17336.5,7
"3, 14, 16, 14, 17, 3, 16, 3, 14",16856,958,13281,17335,7
"2, 2, 13, 2, 21, 17, 13, 17, 13",16693,1280,13122,17333,7
"12, 12, 0, 14, 12, 12, 12, 12, 14",16341,1982,12772,17332,7
"13, 13, 13, 12, 12, 12, 12, 12, 1",16290,2084,12721,17332,7
"12, 14, 12, 12, 12, 0, 14, 12, 12",16335,1994,12766,17332,7
"12, 17, 16, 16, 2, 16, 2, 17, 2",16657,1347,13091,17330.5,7
"2, 2, 16, 16, 0, 16, 16, 16, 16",16640,1380,13075,17330,7
"13, 13, 6, 13, 13, 13, 1, 15, 13",16752,1144,13199,17324,7
"15, 15, 15, 15, 3, 15, 3, 4, 15",16643,1361,13091,17323.5,7
"1, 14, 1, 14, 16, 14, 13, 14, 13",16686,1272,13137,17322,7
"0, 12, 12, 13, 13, 13, 12, 13, 12",16448,1744,12903,17320,7
"15, 3, 15, 15, 4, 15, 15, 3, 15",16619,1399,13077,17318.5,7
"12, 12, 12, 12, 12, 12, 12, 4, 12",16236,2163,12696,17317.5,7
"12, 4, 12, 12, 12, 12, 12, 12, 12",16218,2199,12678,17317.5,7
"12, 4, 12, 12, 12, 12, 12, 12, 12",16218,2199,12678,17317.5,7
"0, 12, 13, 12, 13, 12, 13, 12, 13",16421,1785,12889,17313.5,7
"11, 12, 13, 13, 13, 13, 0, 12, 13",16404,1815,12876,17311.5,7
"13, 13, 13, 13, 0, 13, 13, 12, 10",16538,1534,13023,17305,7
"13, 13, 12, 13, 0, 13, 13, 13, 10",16571,1466,13058,17304,7
"13, 13, 14, 0, 20, 13, 13, 1, 13",16504,1600,12991,17304,7
"14, 14, 14, 0, 14, 14, 14, 2, 14",16815,968,13312,17299,7
