"strategy"wins","draws","losses","score","points","
"15, 15, 9, 5, 4, 15, 15, 15, 7",5746,996,5354,6244,0
"1, 21, 1, 21, 1, 21, 21, 12, 1",5960,566,5570,6243,0
"14, 15, 15, 5, 1, 5, 15, 15, 15",5626,1231,5239,6241.5,0
"1, 15, 15, 15, 1, 15, 15, 15, 8",5527,1419,5150,6236.5,0
"5, 4, 15, 14, 5, 14, 14, 15, 14",5568,1337,5191,6236.5,0
"6, 15, 15, 2, 6, 14, 14, 14, 14",5578,1304,5214,6230,0
"21, 15, 21, 14, 21, 2, 2, 2, 2",5886,682,5528,6227,0
"14, 16, 4, 4, 21, 3, 14, 3, 21",5894,664,5538,6226,0
"6, 6, 7, 20, 20, 20, 7, 7, 7",6116,213,5767,6222.5,0
"19, 7, 16, 2, 10, 5, 18, 9, 14",5983,477,5636,6221.5,0
"5, 15, 5, 14, 3, 14, 15, 14, 15",5554,1335,5207,6221.5,0
"5, 14, 14, 15, 1, 15, 15, 15, 6",5537,1359,5200,6216.5,0
"3, 3, 22, 9, 2, 14, 22, 22, 3",5892,641,5563,6212.5,0
"4, 15, 15, 14, 6, 14, 14, 4, 14",5532,1356,5208,6210,0
"20, 1, 21, 21, 1, 13, 1, 21, 1",5887,644,5565,6209,0
"16, 2, 3, 15, 2, 16, 0, 30, 16",5836,745,5515,6208.5,0
"5, 14, 15, 15, 3, 14, 5, 14, 15",5524,1359,5213,6203.5,0
"21, 11, 18, 2, 15, 4, 18, 8, 3",5993,419,5684,6202.5,0
"15, 8, 15, 5, 17, 5, 15, 5, 15",5805,790,5501,6200,0
"4, 15, 15, 14, 5, 14, 14, 5, 14",5487,1406,5203,6190,0
"6, 14, 14, 15, 6, 14, 2, 15, 14",5565,1247,5284,6188.5,0
"18, 17, 16, 15, 10, 9, 8, 6, 1",5915,547,5634,6188.5,0
"3, 1, 23, 1, 22, 23, 1, 3, 23",5989,393,5714,6185.5,0
"5, 5, 16, 5, 18, 15, 10, 10, 16",5875,620,5601,6185,0
"15, 15, 15, 15, 15, 15, 8, 1, 1",5584,1201,5311,6184.5,0
"15, 6, 15, 6, 16, 6, 15, 6, 15",5798,767,5531,6181.5,0
"15, 4, 15, 14, 15, 4, 14, 15, 4",5606,1149,5341,6180.5,0
"5, 14, 15, 14, 7, 14, 15, 2, 14",5532,1290,5274,6177,0
"3, 16, 15, 14, 14, 14, 14, 5, 5",5539,1267,5290,6172.5,0
"16, 11, 17, 12, 15, 3, 17, 5, 4",5882,580,5634,6172,0
"21, 21, 2, 2, 21, 2, 2, 8, 21",6041,260,5795,6171,0
"7, 7, 7, 7, 3, 3, 22, 22, 22",6056,226,5814,6169,0
"4, 14, 14, 14, 5, 15, 14, 15, 5",5473,1389,5234,6167.5,0
"1, 15, 15, 15, 15, 15, 15, 8, 1",5506,1306,5284,6159,0
"4, 15, 15, 14, 5, 14, 13, 5, 15",5487,1343,5266,6158.5,0
"4, 15, 15, 14, 4, 14, 14, 14, 6",5442,1427,5227,6155.5,0
"18, 18, 18, 9, 9, 9, 3, 3, 13",5954,369,5773,6138.5,0
"20, 2, 12, 2, 20, 2, 20, 2, 20",5915,440,5741,6135,0
"25, 25, 20, 5, 3, 2, 15, 2, 3",5842,568,5686,6126,0
"2, 16, 9, 2, 16, 9, 21, 16, 9",5846,560,5690,6126,0
"21, 21, 1, 21, 21, 1, 10, 2, 2",5946,352,5798,6122,0
"12, 1, 15, 1, 15, 15, 15, 15, 11",5599,1045,5452,6121.5,0
"5, 5, 5, 20, 20, 25, 10, 5, 5",5951,335,5810,6118.5,0
"7, 7, 15, 7, 7, 15, 12, 15, 15",5709,817,5570,6117.5,0
"2, 11, 1, 21, 1, 21, 16, 15, 12",5744,747,5605,6117.5,0
"15, 15, 15, 14, 10, 14, 1, 15, 1",5458,1302,5336,6109,0
"13, 0, 0, 16, 15, 15, 15, 14, 12",5610,998,5488,6109,0
"8, 15, 8, 15, 8, 15, 8, 15, 8",5705,804,5587,6107,0
"20, 2, 20, 15, 3, 15, 11, 3, 11",5716,772,5608,6102,0
"20, 2, 20, 15, 3, 15, 11, 3, 11",5716,772,5608,6102,0
"10, 20, 7, 15, 15, 5, 15, 3, 10",5779,633,5684,6095.5,0
"12, 17, 3, 15, 16, 14, 13, 3, 7",5663,851,5582,6088.5,0
"15, 15, 5, 14, 5, 14, 4, 15, 13",5484,1200,5412,6084,0
"15, 5, 15, 5, 15, 5, 15, 10, 15",5647,866,5583,6080,0
"6, 15, 14, 15, 7, 14, 14, 14, 1",5398,1362,5336,6079,0
"5, 15, 14, 14, 5, 14, 14, 14, 5",5368,1415,5313,6075.5,0
"0, 2, 15, 13, 9, 13, 16, 16, 16",5546,1040,5510,6066,0
"5, 5, 15, 14, 5, 13, 15, 13, 15",5447,1231,5418,6062.5,0
"15, 5, 15, 10, 15, 5, 15, 5, 15",5628,868,5600,6062,0
"3, 7, 13, 18, 18, 18, 13, 7, 3",5739,642,5715,6060,0
"5, 14, 13, 15, 5, 13, 15, 15, 5",5444,1229,5423,6058.5,0
"4, 14, 6, 15, 14, 15, 14, 14, 4",5438,1240,5418,6058,0
"22, 15, 5, 7, 2, 3, 20, 2, 24",5798,518,5780,6057,0
"5, 14, 14, 15, 5, 13, 15, 14, 5",5385,1329,5382,6049.5,0
"14, 14, 14, 15, 15, 15, 4, 5, 4",5471,1157,5468,6049.5,0
"5, 14, 14, 14, 5, 14, 14, 15, 5",5358,1383,5355,6049.5,0
"6, 14, 14, 14, 6, 14, 17, 3, 12",5504,1084,5508,6046,0
"0, 6, 22, 6, 22, 22, 0, 0, 22",5929,227,5940,6042.5,0
"14, 1, 11, 15, 12, 16, 16, 14, 1",5526,1021,5549,6036.5,0
"15, 7, 15, 6, 14, 6, 15, 7, 15",5630,779,5687,6019.5,0
"5, 13, 13, 15, 5, 5, 14, 15, 15",5449,1140,5507,6019,0
"2, 15, 15, 13, 5, 14, 14, 15, 7",5325,1386,5385,6018,0
"12, 2, 15, 15, 12, 15, 2, 12, 15",5535,957,5604,6013.5,0
"22, 0, 22, 22, 22, 2, 2, 8, 0",5891,243,5962,6012.5,0
"2, 15, 15, 8, 2, 13, 15, 15, 15",5348,1320,5428,6008,0
"15, 14, 15, 14, 15, 14, 3, 5, 5",5418,1170,5508,6003,0
"5, 4, 22, 14, 25, 15, 2, 3, 10",5682,642,5772,6003,0
"20, 15, 10, 10, 3, 3, 4, 20, 15",5659,683,5754,6000.5,0
"15, 6, 13, 4, 11, 19, 7, 16, 9",5741,517,5838,5999.5,0
"1, 15, 14, 21, 12, 21, 13, 1, 2",5521,942,5633,5992,0
"15, 14, 15, 15, 15, 13, 4, 5, 4",5414,1151,5531,5989.5,0
"15, 20, 16, 10, 11, 15, 10, 2, 1",5627,722,5747,5988,0
"14, 15, 14, 0, 14, 0, 15, 14, 14",5359,1257,5480,5987.5,0
"14, 0, 0, 14, 14, 15, 14, 14, 15",5368,1220,5508,5978,0
"3, 6, 14, 14, 5, 14, 14, 14, 16",5310,1326,5460,5973,0
"11, 9, 20, 5, 0, 17, 13, 6, 19",5729,474,5893,5966,0
"12, 1, 1, 15, 14, 14, 15, 14, 14",5374,1173,5549,5960.5,0
"14, 14, 15, 5, 5, 14, 14, 5, 14",5329,1249,5518,5953.5,0
"2, 10, 15, 15, 15, 15, 15, 10, 3",5390,1114,5592,5947,0
"15, 15, 0, 0, 14, 14, 14, 14, 14",5305,1277,5514,5943.5,0
"6, 14, 4, 14, 6, 14, 14, 14, 14",5313,1260,5523,5943,0
"6, 14, 4, 14, 6, 14, 14, 14, 14",5313,1260,5523,5943,0
"0, 9, 6, 8, 17, 17, 10, 16, 17",5718,443,5935,5939.5,0
"15, 15, 14, 14, 14, 0, 15, 0, 13",5313,1239,5544,5932.5,0
"0, 14, 16, 16, 12, 16, 12, 14, 0",5406,1050,5640,5931,0
"15, 14, 0, 14, 14, 14, 0, 15, 14",5312,1237,5547,5930.5,0
"3, 13, 12, 20, 2, 14, 14, 18, 4",5421,993,5682,5917.5,0
"15, 7, 15, 7, 12, 7, 15, 7, 15",5547,726,5823,5910,0
"1, 15, 15, 15, 1, 15, 14, 14, 10",5151,1489,5456,5895.5,0
"21, 22, 21, 9, 4, 10, 0, 0, 13",5703,384,6009,5895,0
"5, 19, 5, 14, 15, 9, 13, 14, 6",5490,798,5808,5889,0
"15, 15, 15, 14, 13, 14, 14, 0, 0",5221,1320,5555,5881,0
"15, 13, 15, 5, 5, 5, 14, 13, 15",5329,1088,5679,5873,0
"5, 15, 14, 5, 15, 14, 5, 13, 14",5286,1161,5649,5866.5,0
"1, 15, 14, 15, 1, 15, 14, 15, 10",5133,1466,5497,5866,0
"6, 14, 3, 12, 8, 15, 15, 13, 14",5348,1015,5733,5855.5,0
"24, 24, 1, 1, 1, 24, 1, 23, 1",5639,431,6026,5854.5,0
"14, 15, 14, 0, 15, 14, 14, 0, 14",5198,1310,5588,5853,0
"15, 8, 15, 8, 8, 8, 15, 8, 15",5505,684,5907,5847,0
"0, 3, 0, 3, 0, 21, 23, 23, 27",5674,340,6082,5844,0
"1, 15, 15, 14, 1, 15, 10, 15, 14",5121,1444,5531,5843,0
"15, 1, 15, 13, 12, 13, 15, 1, 15",5247,1179,5670,5836.5,0
"14, 14, 15, 14, 14, 15, 14, 0, 0",5164,1325,5607,5826.5,0
"1, 13, 1, 24, 1, 22, 6, 14, 18",5469,715,5912,5826.5,0
"15, 14, 14, 14, 14, 14, 0, 0, 15",5190,1267,5639,5823.5,0
"3, 21, 13, 3, 21, 12, 3, 3, 21",5554,532,6010,5820,0
"0, 24, 22, 10, 0, 0, 22, 0, 22",5669,289,6138,5813.5,0
"15, 10, 20, 0, 15, 20, 10, 10, 0",5559,500,6037,5809,0
"4, 15, 15, 13, 4, 13, 13, 15, 8",5162,1293,5641,5808.5,0
"1, 15, 15, 14, 0, 15, 14, 15, 11",5091,1430,5575,5806,0
"15, 14, 14, 0, 15, 0, 14, 14, 14",5163,1285,5648,5805.5,0
"17, 5, 8, 14, 17, 9, 8, 5, 17",5564,468,6064,5798,0
"20, 5, 1, 3, 13, 13, 10, 15, 20",5449,678,5969,5788,0
"9, 9, 9, 15, 14, 1, 15, 15, 13",5355,851,5890,5780.5,0
"14, 7, 14, 14, 7, 14, 15, 7, 8",5297,958,5841,5776,0
"11, 13, 14, 0, 14, 0, 14, 20, 14",5286,974,5836,5773,0
"12, 4, 26, 4, 10, 4, 24, 4, 12",5644,252,6200,5770,0
"16, 5, 14, 14, 5, 13, 13, 5, 15",5207,1124,5765,5769,0
"10, 5, 10, 5, 1, 15, 20, 25, 9",5514,510,6072,5769,0
"6, 14, 14, 14, 14, 14, 6, 14, 4",5157,1223,5716,5768.5,0
"1, 6, 14, 16, 26, 16, 14, 6, 1",5302,931,5863,5767.5,0
"14, 14, 15, 14, 0, 15, 14, 0, 14",5062,1402,5632,5763,0
"1, 30, 20, 20, 25, 1, 1, 1, 1",5499,515,6082,5756.5,0
"0, 0, 15, 15, 15, 14, 14, 14, 13",5069,1374,5653,5756,0
"14, 14, 15, 0, 15, 14, 14, 14, 0",5070,1358,5668,5749,0
"15, 14, 15, 14, 14, 14, 14, 0, 0",5074,1346,5676,5747,0
"14, 1, 1, 14, 14, 14, 14, 14, 14",5095,1301,5700,5745.5,0
"14, 1, 1, 14, 14, 14, 14, 14, 14",5095,1301,5700,5745.5,0
"14, 0, 14, 15, 15, 14, 14, 14, 0",5080,1330,5686,5745,0
"6, 15, 15, 14, 13, 6, 12, 6, 13",5275,939,5882,5744.5,0
"13, 13, 1, 14, 15, 14, 1, 15, 14",5154,1175,5767,5741.5,0
"17, 16, 15, 14, 13, 13, 12, 0, 0",5231,1019,5846,5740.5,0
"14, 14, 14, 15, 0, 0, 14, 14, 15",5052,1372,5672,5738,0
"15, 11, 15, 4, 11, 4, 15, 11, 14",5319,836,5941,5737,0
"15, 9, 3, 19, 7, 10, 9, 12, 16",5538,386,6172,5731,0
"14, 13, 12, 14, 14, 18, 4, 5, 6",5355,740,6001,5725,0
"14, 1, 14, 14, 14, 1, 14, 14, 14",5069,1309,5718,5723.5,0
"15, 0, 15, 14, 0, 14, 14, 14, 14",5014,1418,5664,5723,0
"4, 15, 15, 15, 2, 13, 14, 12, 10",5088,1268,5740,5722,0
"14, 1, 14, 14, 15, 14, 14, 0, 14",5066,1310,5720,5721,0
"2, 14, 14, 14, 18, 14, 5, 5, 14",5120,1193,5783,5716.5,0
"14, 15, 14, 14, 0, 14, 14, 0, 15",5003,1415,5678,5710.5,0
"14, 14, 1, 14, 14, 14, 14, 1, 14",5048,1314,5734,5705,0
"15, 14, 0, 14, 0, 14, 15, 13, 15",5054,1299,5743,5703.5,0
"14, 14, 14, 1, 14, 1, 14, 14, 14",5052,1300,5744,5702,0
"14, 14, 6, 14, 14, 14, 5, 14, 5",5147,1105,5844,5699.5,0
"14, 14, 15, 1, 1, 14, 14, 15, 12",5009,1373,5714,5695.5,0
"14, 14, 14, 1, 14, 14, 1, 14, 14",5041,1298,5757,5690,0
"14, 16, 12, 10, 15, 3, 15, 3, 12",5303,773,6020,5689.5,0
"2, 14, 15, 14, 2, 14, 10, 15, 14",4984,1405,5707,5686.5,0
"14, 14, 14, 14, 14, 14, 5, 6, 5",5125,1121,5850,5685.5,0
"14, 1, 14, 14, 14, 14, 14, 1, 14",5019,1329,5748,5683.5,0
"13, 14, 5, 16, 4, 11, 6, 8, 23",5390,586,6120,5683,0
"13, 15, 14, 15, 2, 12, 1, 14, 14",5055,1254,5787,5682,0
"13, 15, 14, 1, 14, 13, 15, 14, 1",5026,1310,5760,5681,0
"14, 14, 14, 14, 14, 14, 1, 1, 14",5011,1320,5765,5671,0
"14, 14, 14, 14, 14, 14, 1, 1, 14",5011,1320,5765,5671,0
"14, 14, 14, 14, 14, 14, 1, 1, 14",5011,1320,5765,5671,0
"14, 14, 14, 14, 14, 14, 1, 1, 14",5011,1320,5765,5671,0
"14, 3, 14, 14, 13, 14, 14, 0, 14",5037,1261,5798,5667.5,0
"14, 6, 14, 14, 3, 14, 14, 7, 14",5039,1243,5814,5660.5,0
"0, 15, 14, 15, 14, 14, 14, 14, 0",4933,1451,5712,5658.5,0
"14, 14, 14, 15, 15, 7, 7, 7, 7",5225,859,6012,5654.5,0
"0, 14, 15, 14, 14, 14, 14, 15, 0",4935,1438,5723,5654,0
"10, 2, 15, 10, 11, 17, 14, 10, 11",5295,697,6104,5643.5,0
"14, 15, 14, 14, 0, 14, 15, 14, 0",4912,1459,5725,5641.5,0
"14, 12, 17, 0, 11, 12, 15, 6, 13",5293,694,6109,5640,0
"15, 15, 10, 0, 0, 0, 30, 15, 15",5216,844,6036,5638,0
"14, 14, 14, 6, 14, 6, 14, 4, 14",5115,1045,5936,5637.5,0
"0, 14, 14, 15, 1, 15, 15, 14, 12",4917,1434,5745,5634,0
"14, 14, 14, 14, 2, 14, 0, 14, 14",4907,1454,5735,5634,0
"14, 14, 14, 14, 2, 14, 0, 14, 14",4907,1454,5735,5634,0
"15, 13, 1, 1, 15, 14, 15, 13, 13",5064,1136,5896,5632,0
"15, 14, 14, 14, 15, 14, 14, 0, 0",4954,1353,5789,5630.5,0
"1, 15, 13, 14, 0, 16, 15, 14, 12",4974,1309,5813,5628.5,0
"2, 11, 2, 13, 15, 14, 11, 16, 16",5166,922,6008,5627,0
"14, 14, 14, 7, 14, 14, 4, 5, 14",5085,1081,5930,5625.5,0
"12, 13, 13, 16, 14, 14, 2, 2, 14",5126,995,5975,5623.5,0
"13, 3, 14, 14, 11, 14, 14, 14, 3",4972,1302,5822,5623,0
"14, 15, 14, 14, 0, 14, 14, 1, 14",4893,1459,5744,5622.5,0
"15, 14, 13, 15, 1, 15, 13, 0, 14",4953,1332,5811,5619,0
"4, 9, 13, 15, 4, 14, 14, 13, 14",5010,1217,5869,5618.5,0
"10, 5, 0, 15, 25, 10, 5, 25, 5",5429,379,6288,5618.5,0
"14, 14, 14, 1, 0, 14, 15, 14, 14",4919,1397,5780,5617.5,0
"0, 15, 15, 14, 0, 14, 14, 14, 14",4843,1547,5706,5616.5,0
"0, 15, 15, 14, 0, 14, 14, 14, 14",4843,1547,5706,5616.5,0
"1, 1, 15, 26, 1, 31, 2, 21, 2",5271,690,6135,5616,0
"6, 29, 5, 28, 8, 6, 5, 6, 7",5544,142,6410,5615,0
"0, 15, 15, 15, 0, 13, 14, 14, 14",4864,1501,5731,5614.5,0
"7, 14, 14, 14, 5, 14, 13, 13, 6",4993,1240,5863,5613,0
"16, 15, 2, 2, 15, 14, 13, 12, 11",5140,943,6013,5611.5,0
"13, 14, 6, 14, 6, 14, 6, 14, 13",5064,1093,5939,5610.5,0
"10, 15, 10, 5, 10, 15, 10, 15, 10",5246,718,6132,5605,0
"4, 15, 15, 12, 11, 12, 12, 15, 4",5124,959,6013,5603.5,0
"30, 5, 17, 0, 12, 0, 8, 5, 23",5439,320,6337,5599,0
"13, 14, 14, 14, 2, 1, 14, 14, 14",4882,1431,5783,5597.5,0
"6, 14, 6, 14, 6, 13, 13, 13, 15",5044,1103,5949,5595.5,0
"0, 15, 14, 15, 0, 14, 14, 14, 14",4831,1528,5737,5595,0
"2, 14, 9, 14, 5, 14, 14, 14, 14",4911,1367,5818,5594.5,0
"0, 15, 13, 15, 0, 15, 14, 13, 15",4913,1361,5822,5593.5,0
"14, 4, 14, 13, 10, 14, 14, 3, 14",4995,1193,5908,5591.5,0
"0, 14, 15, 14, 0, 14, 14, 15, 14",4833,1515,5748,5590.5,0
"14, 14, 1, 14, 1, 14, 14, 14, 14",4842,1494,5760,5589,0
"14, 14, 1, 14, 1, 14, 14, 14, 14",4842,1494,5760,5589,0
"31, 21, 16, 13, 12, 2, 2, 2, 1",5272,631,6193,5587.5,0
"14, 14, 14, 14, 1, 15, 1, 13, 14",4867,1428,5801,5581,0
"14, 14, 14, 1, 14, 14, 14, 14, 1",4884,1392,5820,5580,0
"14, 14, 14, 1, 14, 14, 14, 14, 1",4884,1392,5820,5580,0
"13, 2, 13, 2, 12, 12, 12, 17, 17",5279,600,6217,5579,0
"1, 13, 14, 15, 13, 16, 14, 13, 1",4926,1304,5866,5578,0
"0, 14, 14, 14, 0, 15, 14, 15, 14",4827,1493,5776,5573.5,0
"15, 15, 14, 14, 0, 14, 14, 14, 0",4828,1489,5779,5572.5,0
"14, 1, 14, 14, 1, 14, 14, 14, 14",4813,1509,5774,5567.5,0
"14, 1, 14, 14, 1, 14, 14, 14, 14",4813,1509,5774,5567.5,0
"14, 14, 14, 14, 1, 1, 14, 14, 14",4816,1502,5778,5567,0
"14, 14, 14, 14, 1, 1, 14, 14, 14",4816,1502,5778,5567,0
"14, 7, 14, 7, 16, 7, 14, 7, 14",5160,808,6128,5564,0
"0, 14, 14, 14, 0, 14, 15, 15, 14",4821,1484,5791,5563,0
"10, 10, 10, 15, 20, 15, 5, 10, 5",5263,596,6237,5561,0
"14, 14, 14, 14, 14, 14, 14, 1, 1",4854,1414,5828,5561,0
"14, 16, 16, 12, 14, 11, 8, 8, 1",5202,712,6182,5558,0
"14, 15, 12, 15, 14, 12, 2, 14, 2",5047,1021,6028,5557.5,0
"0, 16, 16, 13, 0, 13, 13, 14, 15",4918,1276,5902,5556,0
"14, 14, 14, 14, 1, 14, 1, 14, 14",4805,1500,5791,5555,0
"14, 14, 11, 14, 2, 14, 14, 2, 15",4912,1279,5905,5551.5,0
"0, 15, 14, 14, 0, 14, 14, 14, 15",4786,1529,5781,5550.5,0
"0, 16, 12, 13, 3, 18, 12, 11, 15",5128,843,6125,5549.5,0
"0, 25, 0, 0, 15, 25, 0, 10, 25",5366,365,6365,5548.5,0
"1, 14, 14, 14, 1, 15, 14, 15, 12",4792,1504,5800,5544,0
"1, 14, 14, 14, 14, 15, 14, 2, 12",4875,1332,5889,5541,0
"10, 13, 14, 11, 8, 15, 4, 15, 10",5116,848,6132,5540,0
"13, 14, 14, 14, 13, 14, 14, 2, 2",4889,1301,5906,5539.5,0
"30, 21, 15, 11, 8, 6, 4, 3, 2",5299,481,6316,5539.5,0
"13, 13, 15, 1, 14, 13, 14, 3, 14",4943,1187,5966,5536.5,0
"13, 6, 6, 13, 6, 13, 13, 17, 13",5095,873,6128,5531.5,0
"17, 8, 8, 8, 17, 8, 8, 8, 18",5435,192,6469,5531,0
"13, 2, 14, 14, 1, 14, 14, 14, 14",4798,1460,5838,5528,0
"14, 14, 14, 14, 1, 14, 14, 1, 14",4766,1522,5808,5527,0
"14, 14, 14, 14, 1, 14, 14, 1, 14",4766,1522,5808,5527,0
"3, 15, 15, 12, 1, 12, 12, 15, 15",4927,1175,5994,5514.5,0
"14, 14, 14, 5, 15, 10, 14, 0, 14",4971,1085,6040,5513.5,0
"13, 13, 2, 14, 14, 15, 13, 14, 2",4927,1172,5997,5513,0
"13, 14, 13, 15, 5, 13, 0, 14, 13",4884,1254,5958,5511,0
"1, 15, 14, 15, 1, 15, 13, 13, 13",4754,1513,5829,5510.5,0
"12, 13, 13, 2, 16, 15, 14, 2, 13",4991,1033,6072,5507.5,0
"23, 5, 11, 0, 17, 25, 1, 10, 8",5363,288,6445,5507,0
"1, 15, 15, 14, 1, 14, 13, 14, 13",4704,1604,5788,5506,0
"14, 15, 13, 13, 1, 15, 15, 13, 1",4808,1394,5894,5505,0
"15, 15, 14, 14, 1, 14, 14, 12, 1",4775,1457,5864,5503.5,0
"10, 4, 12, 8, 22, 14, 24, 4, 2",5272,457,6367,5500.5,0
"15, 1, 15, 1, 36, 1, 15, 1, 15",5049,898,6149,5498,0
"13, 14, 14, 13, 12, 3, 14, 3, 14",4897,1198,6001,5496,0
"3, 3, 9, 26, 26, 26, 1, 3, 3",5278,430,6388,5493,0
"13, 1, 14, 14, 14, 13, 14, 14, 3",4817,1335,5944,5484.5,0
"4, 15, 15, 14, 1, 14, 12, 12, 13",4819,1329,5948,5483.5,0
"15, 16, 15, 13, 1, 8, 12, 7, 13",4972,1011,6113,5477.5,0
"13, 14, 6, 6, 14, 14, 14, 6, 13",4990,972,6134,5476,0
"13, 14, 14, 14, 2, 14, 14, 14, 1",4714,1523,5859,5475.5,0
"2, 12, 13, 16, 14, 16, 13, 12, 2",5014,921,6161,5474.5,0
"1, 14, 2, 14, 14, 14, 14, 13, 14",4784,1379,5933,5473.5,0
"2, 13, 14, 2, 13, 14, 14, 14, 14",4807,1332,5957,5473,0
"2, 12, 16, 12, 16, 16, 12, 12, 2",5101,744,6251,5473,0
"2, 14, 10, 12, 16, 3, 14, 14, 15",4940,1062,6094,5471,0
"14, 14, 14, 14, 12, 14, 3, 12, 3",4875,1189,6032,5469.5,0
"1, 15, 15, 13, 1, 14, 13, 14, 14",4675,1588,5833,5469,0
"15, 1, 14, 13, 1, 13, 15, 13, 15",4790,1353,5953,5466.5,0
"14, 14, 14, 13, 14, 2, 14, 2, 13",4843,1246,6007,5466,0
"8, 15, 10, 11, 9, 9, 20, 8, 10",5269,383,6444,5460.5,0
"14, 14, 2, 13, 14, 13, 2, 14, 14",4853,1212,6031,5459,0
"14, 14, 14, 2, 14, 14, 14, 12, 2",4850,1215,6031,5457.5,0
"7, 14, 12, 14, 7, 14, 11, 14, 7",4982,950,6164,5457,0
"12, 14, 14, 14, 2, 14, 3, 13, 14",4791,1326,5979,5454,0
"1, 14, 15, 13, 1, 14, 15, 13, 14",4682,1543,5871,5453.5,0
"2, 15, 15, 13, 2, 13, 12, 15, 13",4763,1376,5957,5451,0
"1, 14, 14, 14, 14, 14, 14, 14, 1",4673,1545,5878,5445.5,0
"1, 14, 14, 14, 14, 14, 14, 14, 1",4673,1545,5878,5445.5,0
"1, 14, 14, 14, 14, 14, 14, 14, 1",4673,1545,5878,5445.5,0
"2, 13, 13, 2, 13, 14, 14, 14, 15",4827,1237,6032,5445.5,0
"14, 14, 14, 14, 1, 14, 14, 14, 1",4648,1594,5854,5445,0
"14, 14, 14, 14, 1, 14, 14, 14, 1",4648,1594,5854,5445,0
"14, 14, 14, 14, 1, 14, 14, 14, 1",4648,1594,5854,5445,0
"0, 14, 14, 14, 16, 14, 14, 14, 0",4720,1449,5927,5444.5,0
"1, 15, 14, 14, 1, 14, 13, 14, 14",4634,1617,5845,5442.5,0
"0, 13, 13, 14, 2, 15, 13, 15, 15",4782,1319,5995,5441.5,0
"5, 7, 9, 8, 9, 10, 17, 10, 25",5326,231,6539,5441.5,0
"13, 2, 13, 4, 13, 14, 15, 13, 13",4925,1029,6142,5439.5,0
"0, 14, 14, 14, 2, 14, 14, 14, 14",4653,1572,5871,5439,0
"12, 13, 14, 3, 14, 3, 14, 14, 13",4868,1134,6094,5435,0
"2, 15, 12, 15, 15, 14, 13, 12, 2",4860,1150,6086,5435,0
"3, 14, 14, 14, 14, 14, 14, 13, 0",4700,1462,5934,5431,0
"16, 15, 14, 13, 12, 11, 10, 5, 4",4976,907,6213,5429.5,0
"1, 15, 14, 13, 1, 13, 14, 15, 14",4633,1583,5880,5424.5,0
"2, 15, 15, 13, 2, 12, 14, 13, 14",4739,1366,5991,5422,0
"2, 15, 14, 15, 1, 13, 14, 13, 13",4648,1539,5909,5417.5,0
"12, 13, 13, 15, 4, 4, 15, 12, 12",4975,883,6238,5416.5,0
"2, 14, 14, 14, 0, 14, 14, 14, 14",4632,1567,5897,5415.5,0
"1, 13, 13, 15, 2, 13, 15, 15, 13",4736,1357,6003,5414.5,0
"13, 3, 3, 13, 13, 13, 14, 14, 14",4831,1163,6102,5412.5,0
"15, 3, 15, 13, 13, 13, 13, 2, 13",4834,1157,6105,5412.5,0
"1, 14, 14, 14, 1, 14, 14, 14, 14",4585,1653,5858,5411.5,0
"1, 14, 14, 14, 1, 14, 14, 14, 14",4585,1653,5858,5411.5,0
"1, 14, 14, 14, 1, 14, 14, 14, 14",4585,1653,5858,5411.5,0
"1, 14, 14, 14, 1, 14, 14, 14, 14",4585,1653,5858,5411.5,0
"1, 14, 14, 14, 1, 14, 14, 14, 14",4585,1653,5858,5411.5,0
"1, 14, 14, 14, 1, 14, 14, 14, 14",4585,1653,5858,5411.5,0
"1, 14, 14, 14, 1, 14, 14, 14, 14",4585,1653,5858,5411.5,0
"1, 14, 14, 14, 1, 14, 14, 14, 14",4585,1653,5858,5411.5,0
"1, 14, 14, 14, 1, 14, 14, 14, 14",4585,1653,5858,5411.5,0
"1, 14, 14, 14, 1, 14, 14, 14, 14",4585,1653,5858,5411.5,0
"14, 14, 2, 13, 2, 14, 13, 14, 14",4726,1366,6004,5409,0
"1, 13, 13, 13, 1, 15, 14, 15, 15",4698,1416,5982,5406,0
"2, 14, 14, 13, 1, 15, 15, 13, 13",4658,1494,5944,5405,0
"1, 13, 14, 15, 1, 13, 15, 13, 15",4681,1440,5975,5401,0
"1, 14, 12, 14, 14, 3, 14, 14, 14",4759,1282,6055,5400,0
"2, 15, 14, 14, 1, 13, 14, 14, 13",4592,1608,5896,5396,0
"14, 14, 12, 14, 2, 14, 14, 14, 2",4712,1368,6016,5396,0
"19, 11, 18, 12, 8, 0, 12, 9, 11",5234,319,6543,5393.5,0
"2, 14, 14, 14, 2, 14, 14, 12, 14",4665,1456,5975,5393,0
"14, 14, 14, 13, 2, 14, 14, 14, 1",4626,1527,5943,5389.5,0
"14, 14, 6, 13, 14, 6, 13, 14, 6",4896,981,6219,5386.5,0
"14, 13, 13, 1, 4, 14, 14, 13, 14",4761,1241,6094,5381.5,0
"15, 13, 2, 14, 2, 13, 13, 15, 13",4750,1263,6083,5381.5,0
"4, 13, 15, 14, 1, 12, 14, 12, 15",4769,1224,6103,5381,0
"2, 14, 14, 14, 1, 14, 14, 14, 13",4567,1626,5903,5380,0
"2, 13, 14, 15, 2, 15, 13, 13, 13",4687,1384,6025,5379,0
