"strategy"wins","draws","losses","score","points","
"0, 0, 16, 16, 0, 17, 16, 17, 18",6462,773,4861,6848.5,3
"1, 1, 2, 16, 16, 16, 16, 16, 16",6390,914,4792,6847,3
"16, 5, 5, 16, 5, 5, 16, 16, 16",6495,704,4897,6847,3
"17, 4, 17, 4, 17, 17, 4, 3, 17",6603,487,5006,6846.5,3
"1, 1, 16, 16, 17, 16, 16, 16, 1",6347,998,4751,6846,3
"2, 2, 2, 2, 19, 19, 18, 18, 18",6636,418,5042,6845,3
"2, 21, 1, 21, 17, 17, 2, 17, 2",6576,535,4985,6843.5,3
"16, 2, 16, 1, 16, 16, 16, 16, 1",6396,895,4805,6843.5,3
"17, 3, 18, 3, 17, 3, 18, 3, 18",6610,461,5025,6840.5,3
"2, 16, 15, 16, 2, 16, 15, 16, 2",6236,1206,4654,6839,3
"6, 16, 8, 18, 7, 17, 8, 16, 4",6586,503,5007,6837.5,3
"5, 16, 5, 16, 16, 5, 16, 5, 16",6483,708,4905,6837,3
"16, 1, 2, 16, 16, 16, 16, 16, 1",6392,887,4817,6835.5,3
"17, 4, 17, 3, 17, 4, 17, 4, 17",6593,479,5024,6832.5,3
"15, 17, 1, 16, 1, 16, 18, 15, 1",6354,954,4788,6831,3
"2, 2, 20, 20, 16, 19, 3, 16, 2",6522,618,4956,6831,3
"3, 16, 17, 17, 1, 16, 18, 10, 2",6403,854,4839,6830,3
"2, 16, 16, 16, 2, 16, 16, 14, 2",6252,1153,4691,6828.5,3
"0, 16, 17, 15, 17, 17, 17, 1, 0",6423,811,4862,6828.5,3
"17, 3, 17, 4, 17, 4, 17, 4, 17",6593,470,5033,6828,2
"17, 3, 17, 4, 17, 4, 17, 4, 17",6593,470,5033,6828,2
"15, 15, 2, 16, 2, 16, 16, 16, 2",6290,1074,4732,6827,2
"2, 2, 17, 16, 2, 16, 16, 17, 12",6396,862,4838,6827,2
"18, 3, 17, 3, 17, 3, 18, 3, 18",6595,462,5039,6826,2
"17, 3, 17, 3, 18, 4, 18, 3, 17",6591,468,5037,6825,2
"2, 16, 15, 16, 2, 15, 16, 16, 2",6221,1208,4667,6825,2
"17, 3, 17, 3, 18, 3, 18, 3, 18",6588,473,5035,6824.5,2
"4, 16, 15, 15, 16, 16, 0, 15, 3",6240,1164,4692,6822,2
"19, 19, 1, 1, 2, 1, 19, 19, 19",6593,454,5049,6820,2
"19, 19, 18, 18, 18, 2, 2, 2, 2",6632,371,5093,6817.5,2
"17, 4, 4, 17, 1, 4, 17, 17, 19",6533,565,4998,6815.5,2
"3, 15, 15, 16, 15, 0, 16, 16, 4",6241,1149,4706,6815.5,2
"1, 1, 20, 19, 1, 19, 19, 19, 1",6498,632,4966,6814,2
"16, 16, 16, 2, 14, 16, 2, 2, 16",6403,822,4871,6814,2
"1, 20, 19, 19, 1, 19, 1, 19, 1",6517,593,4986,6813.5,2
"17, 4, 17, 4, 16, 4, 17, 4, 17",6574,479,5043,6813.5,2
"17, 5, 17, 2, 17, 3, 17, 5, 17",6566,493,5037,6812.5,2
"1, 1, 19, 20, 1, 19, 19, 19, 1",6497,630,4969,6812,2
"2, 2, 16, 15, 2, 15, 16, 16, 16",6256,1112,4728,6812,2
"1, 1, 19, 20, 1, 19, 19, 19, 1",6497,630,4969,6812,2
"19, 1, 19, 19, 2, 1, 19, 1, 19",6576,469,5051,6810.5,2
"2, 15, 15, 16, 2, 16, 16, 16, 2",6192,1236,4668,6810,2
"18, 3, 18, 3, 18, 2, 18, 2, 18",6619,380,5097,6809,2
"18, 3, 18, 3, 18, 2, 18, 2, 18",6619,380,5097,6809,2
"1, 19, 19, 20, 1, 19, 1, 2, 18",6529,556,5011,6807,2
"19, 19, 1, 19, 1, 1, 19, 19, 2",6551,508,5037,6805,2
